                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1022,                0.84614,                 1.0485,                0.15834,                0.08333,                0.04088,                0.01993,                 3.5747,                  4.551,                 3.2765,             0.00038711,             0.00038711,             0.00038711
                     35,                 1.0242,                0.81914,                 1.0085,                 0.3575,                0.05833,                0.04336,                0.02093,                 3.6342,                 5.1921,                 3.3089,              0.0003759,              0.0003759,              0.0003759
                     36,                 1.0777,                0.91317,                 1.0834,                0.56166,                0.16667,                0.15016,                0.06584,                 2.9865,                 4.1784,                 2.5126,             0.00036336,             0.00036336,             0.00036336
                     37,                0.96111,                0.79358,                 1.0278,                0.56166,                0.16667,                0.15016,                0.06584,                 2.9865,                 4.1784,                 2.5126,              0.0003495,              0.0003495,              0.0003495
                     38,                0.98204,                0.73906,                 1.0511,                0.39192,                 0.1559,                0.12318,                0.04941,                  3.189,                 4.4169,                 4.0007,             0.00033432,             0.00033432,             0.00033432
                     39,                0.83848,                0.68389,                0.93898,                0.43297,                  0.175,                0.16273,                0.08526,                 2.6985,                 3.6152,                 2.2415,             0.00031782,             0.00031782,             0.00031782
                     40,                0.93678,                0.78624,                0.99417,                0.43297,                  0.175,                0.16273,                0.08526,                 2.6985,                 3.6152,                 2.2415,                 0.0003,                 0.0003,                 0.0003
                     41,                0.89422,                0.72094,                0.96007,                0.40331,                  0.125,                0.12645,                0.06863,                 2.7387,                 3.7035,                 2.2431,             0.00028086,             0.00028086,             0.00028086
                     42,                0.95551,                0.73196,                0.95714,                 0.6136,                  0.125,                0.13792,                0.06261,                 2.7382,                 3.5778,                 2.2687,              0.0002604,              0.0002604,              0.0002604
                     43,                0.86581,                0.69019,                0.95773,                 0.6136,                  0.125,                0.13792,                0.06261,                 2.7382,                 3.5778,                 2.2687,             0.00023861,             0.00023861,             0.00023861
                     44,                0.82554,                0.66817,                0.94093,                0.42912,                 0.2441,                0.22584,                0.11228,                 2.4493,                 3.2152,                 2.0753,             0.00021551,             0.00021551,             0.00021551
                     45,                0.76201,                 0.6307,                0.89417,                0.42912,                 0.2441,                0.22584,                0.11228,                 2.4493,                 3.2152,                 2.0753,             0.00019109,             0.00019109,             0.00019109
                     46,                0.82809,                0.62561,                 0.9322,                0.56929,                0.33508,                 0.3634,                0.19085,                 2.0931,                 2.5685,                  1.788,             0.00016535,             0.00016535,             0.00016535
                     47,                0.78296,                0.58537,                0.97115,                0.56929,                0.33508,                 0.3634,                0.19085,                 2.0931,                 2.5685,                  1.788,             0.00013829,             0.00013829,             0.00013829
                     48,                0.72631,                0.55418,                0.92133,                0.56096,                 0.4015,                0.39757,                0.21182,                 1.9147,                 2.2741,                  1.678,             0.00010991,             0.00010991,             0.00010991
                     49,                0.74521,                0.62921,                0.89748,                0.56096,                 0.4015,                0.39757,                0.21182,                 1.9147,                 2.2741,                  1.678,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                0.76946,                0.63451,                0.92085,                0.59974,                0.51667,                0.48875,                 0.2617,                 1.7919,                 1.9691,                 1.5547,              4.918e-05,              4.918e-05,              4.918e-05
